country,year,iso_code,population,gdp,co2,co2_per_capita
Montserrat,2024,MSR,4414.0,,0.027,6.022
Bhutan,2024,BTN,791530.0,,1.657,2.094
Sweden,2024,SWE,10606993.0,,38.097,3.592
Eswatini,2024,SWZ,1242829.0,,1.045,0.841
Fiji,2024,FJI,928800.0,,1.445,1.556
Faroe Islands,2024,FRO,55419.0,,0.725,13.089
Uzbekistan,2024,UZB,36361859.0,,139.234,3.829
Australia,2024,AUS,26713206.0,,386.732,14.477
Bermuda,2024,BMU,64660.0,,0.55,8.506
Benin,2024,BEN,14462721.0,,6.066,0.419
North Macedonia,2024,MKD,1823011.0,,6.62,3.631
Ethiopia,2024,ETH,132059770.0,,17.837,0.135
Mongolia,2024,MNG,3475541.0,,44.694,12.86
Moldova,2024,MDA,3034967.0,,5.327,1.755
Afghanistan,2024,AFG,42647502.0,,10.826,0.254
Cape Verde,2024,CPV,524878.0,,0.594,1.131
Canada,2024,CAN,39742429.0,,533.34,13.42
Dominican Republic,2024,DOM,11427558.0,,33.131,2.899
Azerbaijan,2024,AZE,10336577.0,,39.83,3.853
Greenland,2024,GRL,55864.0,,0.619,11.08
Greece,2024,GRC,10047813.0,,53.361,5.311
Aruba,2024,ABW,108076.0,,0.921,8.518
Turkey,2024,TUR,87473800.0,,513.035,5.865
Chad,2024,TCD,20299131.0,,2.831,0.139
Central African Republic,2024,CAF,5330691.0,,0.395,0.074
Laos,2024,LAO,7769823.0,,24.4,3.14
Saint Vincent and the Grenadines,2024,VCT,100630.0,,0.256,2.541
Kyrgyzstan,2024,KGZ,7186014.0,,11.77,1.638
Latvia,2024,LVA,1871874.0,,6.462,3.452
Chile,2024,CHL,19764774.0,,78.726,3.983
Samoa,2024,WSM,218031.0,,0.246,1.126
Kuwait,2024,KWT,4934508.0,,129.519,26.248
Papua New Guinea,2024,PNG,10576509.0,,8.345,0.789
South Korea,2024,KOR,51717587.0,,583.679,11.286
Grenada,2024,GRD,117218.0,,0.377,3.216
South Sudan,2024,SSD,11943410.0,,1.696,0.142
Dominica,2024,DMA,66226.0,,0.171,2.58
Nicaragua,2024,NIC,6916136.0,,5.63,0.814
Colombia,2024,COL,52886360.0,,92.659,1.752
Saint Kitts and Nevis,2024,KNA,46867.0,,0.26,5.542
