income_level,env_identity_score,freq_ev,freq_hsr,diet_type,appliance_efficiency,freq_waste_sorting,freq_reduce_disposable,income_numeric,direct_rebound_score,psych_rebound_score
Medium,51.045385699183896,0.23190112176891486,1.0,Omnivore,5,0.7008427202831079,0.21157965911064372,2,0.8543935439157457,0.5630056694611558
High,24.145434487958433,0.24669781788511308,0.8939883245197807,Vegan,4,0.5116834463842121,0.6990734279226025,3,0.8227047817330818,0.673150002268596
Medium,53.81668882463295,0.9451885797595444,1.0,Vegetarian,5,0.9245531671307203,0.42769746330472563,2,0.9661911218796607,0.7277269176644076
Medium,73.7021059802611,0.4137352588446539,0.6030414018865797,Vegetarian,4,0.5362759002339762,0.29875322604043864,2,0.3859064759441827,0.7056101158152278
Low,68.0644485442482,0.4425890233244587,0.5379031870717179,Vegan,3,0.9408006469282129,0.0,1,0.6665119518938322,0.8307773644457902
Low,66.42279371715864,0.11463994358570684,0.3386020523663197,Vegan,3,0.7024075126291327,0.18507965112760089,1,0.6317966630304157,0.7649722025853537
Low,55.8001004718828,0.836924329909292,0.9858448597885123,Omnivore,5,0.6331590066333171,0.4459826903784308,1,0.8606205377732736,0.5657363593122126
High,40.8145389567032,0.22763183285593064,1.0,Vegetarian,5,0.6510271269733747,0.0,3,1.0,0.7245620763167653
Medium,67.72941482436701,0.8339907620990965,0.5255824191635114,Omnivore,5,0.6673151265887612,0.3266495845040094,2,0.9581991127899442,0.6457285762093185
Medium,47.485772849480625,0.1402850127879668,0.874372439674282,Omnivore,5,0.438353328451105,0.2360786463816876,2,0.8707154481463385,0.4946554490185333
Low,92.76145100070684,0.9865641126311521,1.0,Omnivore,2,0.7889080817413517,0.5509539559619877,1,0.29259511876896127,0.7073160780956864
High,68.55760812531774,0.9297726373361574,1.0,Vegetarian,2,0.4522503472674553,0.39596181063159874,3,0.7654687862904848,0.6897367853479273
High,51.29027546169073,0.3646702625073051,0.9033116013256753,Omnivore,2,0.386418548811038,0.2878054089938066,3,0.8526082203992952,0.470548752491963
Low,50.829221289170576,0.5658179928594681,1.0,Omnivore,5,0.5425122003510069,0.18803630963930792,1,0.7442385011671631,0.5290724253756414
Low,58.60583690079618,0.31265631435521946,0.6377023255165286,Vegetarian,1,0.5760000178234942,0.9293626349194574,1,0.5336031008595107,0.6716802068079457
Low,56.407471169673755,0.17823309891158345,0.6319658896197764,Omnivore,5,0.48795116937791555,0.2850393548440081,1,0.6571254304691534,0.48922357753215073
Medium,76.75250663294932,0.9591821994111084,0.9267750431790922,Omnivore,5,0.6975735318678805,0.0,2,0.5607368382126366,0.6367916221091451
Medium,62.7962425461607,0.4035227665072294,0.6974830938467106,Omnivore,5,0.8382311725139572,0.032422250445610756,2,0.9344648007125291,0.6467600475244695
Medium,49.02552391637208,0.3985437143653825,0.24655334786939304,Omnivore,2,0.5253821081107842,0.5891229320704288,2,0.7052192366254303,0.6197075464285158
Low,88.35661027733674,0.26988667480662,1.0,Vegetarian,4,0.6848898762565122,0.8714372570538167,1,0.22838142598746122,0.7972571279041298
Medium,60.73962497280334,0.3830656760857787,1.0,Omnivore,1,0.618976410511331,0.3486241528733009,2,0.7080787116529305,0.5554687947272046
Low,71.53259513953346,0.9716168463288501,1.0,Vegetarian,1,0.8385452131195158,0.17271002218167114,1,0.20512418062638174,0.7285767463133961
Low,50.87660238832861,0.3631287104896359,0.5994036785521096,Omnivore,2,0.7000549246980869,0.6374145130646848,1,0.5979876706950682,0.5159804411124006
Medium,65.44673441616786,0.9516035624997881,0.8495231453920112,Vegetarian,2,0.7672952693588645,0.06925852986310232,2,0.722548025370721,0.7606726678052849
Medium,64.66664986714792,0.9463088992083875,0.6833067675124092,Vegetarian,5,0.8163731906710587,0.6509767357299754,2,1.0,0.6222540336300194
Medium,31.655260618557705,0.14489865930734602,0.1743127031234343,Vegan,5,0.4177645131919218,0.13505411772641177,2,0.7410803820888109,0.7090220795049307
Low,90.2291266569096,0.27731125352264485,1.0,Vegetarian,4,0.5009151659946594,0.9017971604205914,1,0.3210131315028585,0.7213479255854488
Medium,79.35966691383821,0.9626740703318891,0.5205590006532022,Vegetarian,1,0.7615401662579228,0.5093736385311922,2,0.31039113330974055,0.7615600499098145
Medium,54.04207025781019,0.3927609189247192,0.35025167538049157,Omnivore,2,0.5223690129348266,0.8884317386221583,2,0.8903653257578911,0.5588450338622323
Low,43.465953893162165,0.004373982283009337,0.972828838162598,Omnivore,4,0.8425322099208334,0.0,1,0.6724008764149797,0.5136452452865513
Medium,65.21342420705328,0.273871819705371,0.33557332345337204,Vegan,1,0.8040096724291048,0.7160360559183435,2,0.7307290450419341,0.7408096015933294
Low,61.300465491215945,0.59762899319556,1.0,Omnivore,4,0.5548152231061942,0.4070007366578151,1,0.734658928418856,0.5107736643063181
Low,65.33503422844844,0.799265965959968,0.8419305352548191,Omnivore,4,0.49880949006540637,0.33330036848789524,1,0.6077118459082924,0.609282441524976
High,62.87366094291134,0.33338861709325956,1.0,Omnivore,5,0.5599281752886917,0.9004987321254081,3,1.0,0.5665433368914363
High,67.5936148395889,0.31054136441673535,0.3959656466706529,Vegetarian,5,0.5142573995951215,0.25800002271470984,3,1.0,0.6004760223193918
High,81.7095854908771,1.0,0.9920774763202987,Omnivore,5,1.0,0.7511534632342203,3,0.7236730239139325,0.7331315981069609
Medium,68.52154807692969,0.7511483678225827,0.6919347763605597,Omnivore,1,0.6821617799481766,0.6076239790471366,2,0.7842681057163843,0.5178188088393221
Low,44.25516751635088,0.5897796007780784,1.0,Vegetarian,1,0.6075176948388223,0.0,1,0.5703370254760376,0.592474742542588
Medium,80.43844279068678,0.869186789995928,0.7634149491877202,Vegetarian,5,0.9074516664400935,0.9179870383960851,2,0.5771541625897132,0.8470895940017873
